code,state,category,Accident,Alzheimers,Cancer,CLRD,Diabetes,Heart,Influenza,Kidney,Stroke,Suicide
AL,Alabama,state,55.5,45,174,56.2,20.1,222.5,17.1,17.4,51.6,15.7
AK,Alaska,state,63.1,25.8,158.7,41.5,19.3,141,12.5,10,39,25.8
AZ,Arizona,state,54.2,35.8,136.8,43.5,23.9,138.9,10.4,5.7,29.8,17.7
AR,Arkansas,state,51.8,41.3,178.8,59.1,25.4,223.7,17.1,20,45.6,18.2
CA,California,state,32,36.1,139.7,32.6,21.4,143.1,14,8.6,36.9,10.5
CO,Colorado,state,51.2,34.7,137.1,46.4,16.2,129.8,9.6,8.9,35.2,20.5
CT,Connecticut,state,50.3,20.3,144.9,30.5,14.9,144.3,11.7,12.1,26.3,10.1
DE,Delaware,state,52.4,27.4,170.8,43.7,17,163.2,10.7,17.1,41.6,11.5
FL,Florida,state,54.9,21.5,146.9,38,19.5,146.2,9.3,10.2,37.3,14
GA,Georgia,state,45.8,44.8,160.2,47.3,21.2,179,14.3,18.4,44.3,13.3
HI,Hawaii,state,35.3,20.1,128.7,17.7,15.1,127,24.4,11.2,34.3,12.1
ID,Idaho,state,49.5,33.9,150.9,45.7,19.8,160,11.3,10.3,37.2,21.4
IL,Illinois,state,41,25.4,163.5,38.1,18.7,165.7,14.5,17,37.8,10.7
IN,Indiana,state,51.6,34.9,172.5,54.6,26,180.6,12.6,18.4,39.5,15.4
IA,Iowa,state,45.8,31.3,159.8,48.6,20.9,162.8,11.6,8.3,32.3,14.6
KS,Kansas,state,45.7,23.1,158.6,48.3,21.2,159.2,14.4,15,38.6,17.9
KY,Kentucky,state,71,35.1,193.8,66.3,28.4,203,17.3,20.3,40.4,16.8
LA,Louisiana,state,57.4,45,171.9,43,25.5,213.1,14.3,22.6,46,14.2
ME,Maine,state,62.4,29.6,168.9,47.4,23.9,149.5,12,12.4,34.4,15.9
MD,Maryland,state,35.7,17.4,156.5,30.5,19.6,164.3,15.1,12.1,39.7,9.4
MA,Massachusetts,state,52.8,18.6,150.2,31.4,14.9,134.8,14.1,13.2,27.9,8.8
MI,Michigan,state,50.5,33.6,166.4,44.4,21.5,200.6,13.7,14.3,39,13.3
MN,Minnesota,state,43.8,31.8,148.6,35.8,19.2,114.9,7.8,8.8,32.5,13.2
MS,Mississippi,state,59.2,45.8,187.7,62,31.9,233.1,23.4,22.8,50.6,12.7
MO,Missouri,state,57,30,167,52.1,20.1,192.1,15.1,19.6,40.4,18.4
MT,Montana,state,54.1,22.6,145.9,51.9,23.6,154.4,11.1,11.3,32.5,25.9
NE,Nebraska,state,37,26.2,153.6,48.9,21.9,140.3,14.3,9.5,33.2,13.1
NV,Nevada,state,46,24.6,157.3,56.6,17.9,205.9,18.1,8.8,35.9,21.4
NH,New Hampshire,state,66.6,24.8,164.1,39.3,17.9,151.1,11.8,9.4,28,17.2
NJ,New Jersey,state,40.8,21.1,149.7,27.9,17.8,164.7,10.7,13.8,30.4,7.2
NM,New Mexico,state,69.5,23.5,138.8,44.4,27.2,150.6,14.6,11.7,35.5,22.5
NY,New York,state,34.2,13.1,147.5,28.4,16.9,177.8,18.3,9.8,25.5,8.1
NC,North Carolina,state,52.2,37.2,161.6,44.8,23.5,155.8,16.5,17.1,43,13
ND,North Dakota,state,45.4,35.3,142.7,34.7,19.4,140.9,14.5,11.3,32.7,19
OH,Ohio,state,66.6,33.4,173.4,47.5,24.6,185.1,15,15.4,40.6,14.2
OK,Oklahoma,state,64.1,36.1,177.8,61.4,30.8,228.2,12.4,12.9,41.8,21
OR,Oregon,state,46,34.8,155.9,40.4,24,135,8.9,7.7,37.8,17.8
PA,Pennsylvania,state,61.8,21.7,164.7,36.8,20.3,176.2,13.9,15.7,37,14.7
RI,Rhode Island,state,56.6,26.7,158,31.3,16.9,152.4,11,9.9,26.8,11.2
SC,South Carolina,state,58.9,45.3,167.7,47.5,22.3,173.8,12,15.3,45.5,15.7
SD,South Dakota,state,53.4,37.1,156.7,38.3,23.7,153.4,16.7,7.6,35.8,20.2
TN,Tennessee,state,61.1,44.2,179.9,54.7,24,198.8,20.1,14.9,46,16.3
TX,Texas,state,38.6,37.8,148.5,39.5,20.3,167.7,11.1,15.8,42,12.6
UT,Utah,state,43.8,39.3,122.4,35.8,24.6,150,15.5,15.2,38.8,21.8
VT,Vermont,state,54.8,35.8,158.4,41.3,20.5,158.8,7,3.7,29.2,17.3
VA,Virginia,state,42.4,26.8,156.1,34.6,21.7,150.7,12.7,16.6,38.2,13.2
WA,Washington,state,41.4,40.7,150.9,37.3,20.3,136.1,10,6.6,35.8,14.9
WV,West Virginia,state,89.7,31.7,182.2,62.1,34.8,191,17.3,19.3,41.7,19.3
WI,Wisconsin,state,55.6,29.6,158,38.3,19.9,154.9,11.9,13,33.3,14.7
WY,Wyoming,state,61.9,21.2,140.9,48.9,16.6,157.8,15,10,31.7,25.2
